Property Reference,Works Order Reference,Job Trade Code,Works Order Raised Date
10001,2913603/1,PLUMBING,8/10/2020
10001,2941722/1,ELECTRICAL,10/5/2020
10001,2942770/1,ELECTRICAL,10/6/2020
10001,2942770/2,ELECTRICAL,10/8/2020
10001,2955123/1,ELECTRICAL,10/28/2020
10001,2957924/1,ELECTRICAL,11/3/2020
10002,2873488/1,PLUMBING,5/19/2020
10002,2873492/1,ELECTRICAL,5/19/2020
10002,2876604/1,ELECTRICAL,5/28/2020
10002,2917486/1,GROUNDWORK,8/19/2020
10002,2917934/1,DRAINAGE,8/19/2020
10002,2917934/1,GROUNDWORK,8/19/2020
10002,2968168/1,PLUMBING,11/23/2020
10002,2971133/1,ELECTRICAL,11/27/2020
10003,2877492/1,CARPENTRY,6/1/2020
10003,2877492/2,CARPENTRY,6/1/2020
10003,2877497/1,PLUMBING,6/1/2020
10003,2952511/1,ELECTRICAL,10/23/2020
10003,2987126/1,PLUMBING,12/27/2020
10003,2987245/1,ELECTRICAL,12/28/2020
10003,2988979/1,PLUMBING,1/4/2021
10003,2993077/1,DECORATING,1/11/2021
10004,2866963/1,CARPENTRY,4/25/2020
10004,2961532/1,FENCING,11/10/2020
10006,2866066/1,ELECTRICAL,4/21/2020
10006,2892165/1,ELECTRICAL,6/30/2020
10006,2913421/1,CARPENTRY,8/10/2020
10006,2956887/1,CARPENTRY,11/2/2020
10006,2957834/1,CARPENTRY,11/3/2020
10006,2978458/1,CARPENTRY,12/10/2020
10006,2978699/1,WALLFLOOR,12/10/2020
10006,2978703/1,ELECTRICAL,12/10/2020
10006,3026620/1,CARPENTRY,3/9/2021
10006,3026620/1,WALLFLOOR,3/9/2021
10006,3026654/1,DRAINAGE,3/9/2021
10006,3026654/1,PLUMBING,3/9/2021
10006,3026654/2,DRAINAGE,3/9/2021
10006,3026654/2,PLUMBING,3/9/2021
10006,3037353/1,ELECTRICAL,3/30/2021
10006,3037746/1,ELECTRICAL,3/30/2021
10007,2899392/1,ELECTRICAL,7/13/2020
10007,2914285/1,ELECTRICAL,8/12/2020
10007,2960774/1,ELECTRICAL,11/9/2020
10007,2960774/2,ELECTRICAL,11/10/2020
10008,2928497/1,GROUNDWORK,9/9/2020
10008,3002868/1,FENCING,1/27/2021
10008,3002868/2,FENCING,2/11/2021
10008,3002889/1,GROUNDWORK,1/27/2021
10008,3002889/2,GROUNDWORK,2/11/2021
10008,3011463/1,CARPENTRY,2/11/2021
10008,3011463/2,CARPENTRY,2/24/2021
10008,3011463/2,GLAZING,2/24/2021
10008,3033486/1,PLUMBING,3/22/2021
10008,3033492/1,ELECTRICAL,3/22/2021
10009,2981524/1,ELECTRICAL,12/15/2020
10009,3002255/1,DRAINAGE,1/26/2021
10009,3002255/1,PLUMBING,1/26/2021
10009,3002255/2,DRAINAGE,1/28/2021
10009,3002255/2,PLUMBING,1/28/2021
10009,3002255/3,DRAINAGE,2/1/2021
10009,3002255/3,PLUMBING,2/1/2021
10009,3008540/1,PLUMBING,2/7/2021
10009,3019522/1,DRAINAGE,2/24/2021
